"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"198","11650","15"," "," ","37.4630673","127.085711"
"200","11215","2"," "," ","37.5571339","127.1119608"
"202","11740","14"," "," ","37.5624231","127.1687792"
"203","11650","21","양재천","Yangjaecheon","37.4663539","127.0238412"
"204","11215","21"," "," ","37.5309084","127.0902178"
"207","11680","6"," "," ","37.4858328","127.0917519"
"211","11680","10"," "," ","37.4771369","127.1056129"
"212","11680","18"," "," ","37.4687011","127.1048504"
"214","11350","19"," "," ","37.6323921","127.1030273"
"217","11500","14"," "," ","37.5903412","126.8111357"
"220","11350","25","태릉천"," ","37.61894","127.0826316"
"221","11500","49"," "," ","37.5974049","126.8407157"
"222","11215","17"," "," ","37.5415674","127.0779824"
"223","11680","24","양재천"," ","37.4906372","127.0589911"
"224","11350","26","우이천"," ","37.6263941","127.0474161"
"225","11350","21"," "," ","37.6302291","127.1092872"
